AppID,Game Name,Copies,Owners
425580,The Room Two,1,SkalinARG
456750,The Room Three,1,SkalinARG
457140,Oxygen Not Included,1,SkalinARG
469820,Genital Jousting,1,SkalinARG
485380,Welcome to the Game,1,SkalinARG
493340,Planet Coaster,1,SkalinARG
496300,Kingdom: New Lands,1,SkalinARG
500260,Ben and Ed - Blood Party,1,SkalinARG
502800,SENRAN KAGURA ESTIVAL VERSUS,1,SkalinARG
504230,Celeste,1,SkalinARG
508440,Totally Accurate Battle Simulator,1,SkalinARG
518790,theHunter: Call of the Wild™,1,SkalinARG
521890,Hello Neighbor,1,SkalinARG
527230,For The King,1,SkalinARG
531510,Just Shapes & Beats,1,SkalinARG
541200,Get To The Orange Door,1,SkalinARG
548430,Deep Rock Galactic,1,SkalinARG
549260,Alwa's Awakening,1,SkalinARG
571740,Golf It!,1,SkalinARG
572220,MageQuit,1,SkalinARG
574560,"Dude, Stop",1,SkalinARG
578330,LEGO® City Undercover,1,SkalinARG
585420,Trailmakers,1,SkalinARG
593280,Cat Quest,1,SkalinARG
597170,Clone Drone in the Danger Zone,1,SkalinARG
607080,Psychonauts 2,1,SkalinARG
615610,Orbt XL,1,SkalinARG
618140,Barro,2,"SkalinARG, Ogidor"
632360,Risk of Rain 2,2,"SkalinARG, Skalin"
648800,Raft,1,SkalinARG
671860,BattleBit Remastered,1,SkalinARG
673130,AMID EVIL,1,SkalinARG
684410,Bridge Constructor Portal,1,SkalinARG
700600,Evil Genius 2,1,SkalinARG
704270,Generation Zero®,1,SkalinARG
712730,SIMULACRA,1,SkalinARG
718670,Cultist Simulator,1,SkalinARG
720250,Welcome to the Game II,1,SkalinARG
729040,Borderlands GOTY Enhanced,1,SkalinARG
732690,FIVE NIGHTS AT FREDDY'S: HELP WANTED,1,SkalinARG
736260,Baba Is You,1,SkalinARG
747660,Five Nights at Freddy's: Security Breach,1,SkalinARG
751780,Forager,1,SkalinARG
764300,Shantae: Half-Genie Hero Ultimate Edition,1,SkalinARG
768750,Montecrypto: The Bitcoin Enigma,1,SkalinARG
782250,Hush Hush - Only Your Love Can Save Them,1,SkalinARG
782330,DOOM Eternal,1,SkalinARG
788100,Neon Abyss,1,SkalinARG
814680,Unbound: Worlds Apart,1,SkalinARG
837470,Untitled Goose Game,1,SkalinARG
850320,PHOGS!,1,SkalinARG
851890,Gal*Gun 2,1,SkalinARG
859570,Secret Neighbor,1,SkalinARG
870780,Control Ultimate Edition,1,SkalinARG
880580,YORG.io,1,SkalinARG
881100,Noita,1,SkalinARG
889910,Hell Pie,1,SkalinARG
897450,The Survivalists,1,SkalinARG
914710,Cat Quest II,1,SkalinARG
951440,Volcanoids,1,SkalinARG
951940,Almost There: The Platformer,1,SkalinARG
960170,DJMAX RESPECT V,1,SkalinARG
977950,A Dance of Fire and Ice,1,SkalinARG
990630,The Last Campfire,1,SkalinARG
1011190,SIMULACRA 2,1,SkalinARG
1029210,30XX,1,SkalinARG
1047440,DATE A LIVE: Rio Reincarnation,1,SkalinARG
1059990,Trombone Champ,1,SkalinARG
1061910,Metal: Hellsinger,1,SkalinARG
1062160,Poly Bridge 2,1,SkalinARG
1062830,Embr,1,SkalinARG
1063660,Bendy and the Dark Revival,1,SkalinARG
1064610,Neon Beats,1,SkalinARG
1069740,Seen,1,SkalinARG
1070330,Russian Life Simulator,1,SkalinARG
1071870,Biped,1,SkalinARG
1089980,The Henry Stickmin Collection,1,SkalinARG
1090630,Granblue Fantasy: Versus,1,SkalinARG
1101360,Rock of Ages 3: Make & Break,1,SkalinARG
1119980,In Sound Mind,1,SkalinARG
1120950,Chameleon Run Deluxe Edition,1,SkalinARG
1130410,Cyber Hook,1,SkalinARG
1134480,YORG.io 3,1,SkalinARG
1145360,Hades,1,SkalinARG
1148590,DOOM 64,1,SkalinARG
1151050,Golf Gang,1,SkalinARG
1153640,Chorus,1,SkalinARG
1168660,Barro 2020,1,SkalinARG
1169040,Necesse,1,SkalinARG
1170060,Boomerang X,1,SkalinARG
1176710,Space Crew: Legendary Edition,2,"SkalinARG, Skalin"
1186040,Worms Rumble,1,SkalinARG
1186640,Pumpkin Jack,1,SkalinARG
1205900,Alwa's Legacy,1,SkalinARG
1209490,Exit the Gungeon,1,SkalinARG
1217060,Gunfire Reborn,1,SkalinARG
1220150,Blue Fire,1,SkalinARG
1225560,Unravel,1,SkalinARG
1225570,Unravel Two,1,SkalinARG
1227690,Severed Steel,1,SkalinARG
1229490,ULTRAKILL,1,SkalinARG
1237970,Titanfall® 2,2,"SkalinARG, V2B"
1239260,Barro F,1,SkalinARG
1286350,BPM: BULLETS PER MINUTE,1,SkalinARG
1286680,Tiny Tina's Wonderlands,1,SkalinARG
1307090,Barro Racing,1,SkalinARG
1313140,Cult of the Lamb,1,SkalinARG
1318690,shapez,1,SkalinARG
1324350,Turbo Golf Racing,1,SkalinARG
1328350,Turbo Overkill,1,SkalinARG
